都道府県,ID,遺跡群名,遺跡名,地点地区名,文化層石器文化,Latitude,Longitude,時期区分
東京都,130487,四葉地区遺跡群,東部台地遺跡,Ｊ地区カ,第Ⅸ層,35.78222222,139.6552778,0
東京都,130488,,円福寺西方遺跡,,,35.775,139.6688889,0
東京都,130489,四葉地区遺跡群,東部台地遺跡,Ｊ地区イ・ロ・ハ,第Ⅸ層,35.78222222,139.6552778,0
東京都,130490,,中台東谷遺跡,,Ⅳ層下,35.76972222,139.6816667,1
東京都,130491,,中台三丁目東丘陵遺跡,,遺構覆土,35.77472222,139.6811111,1
東京都,130492,四葉地区遺跡群,東部台地遺跡,E地区チ,第Ⅵ層,35.78027778,139.655,0
東京都,130493,,中台畠中遺跡,A区,Ⅳ層下部,35.77444444,139.6819444,1
東京都,130494,四葉地区遺跡群,東部台地遺跡,Ｊ地区二・ホ,第Ⅵ～Ⅶ層,35.78083333,139.6555556,1
東京都,130495,,中台畠中遺跡,A区,遺構覆土等,35.77444444,139.6819444,1
東京都,130496,四葉地区遺跡群,東部台地遺跡,27BL,第Ⅳ層下部,35.78083333,139.655,1
東京都,130497,,中台三丁目南遺跡,,,35.77388889,139.6783333,0
東京都,130498,四葉地区遺跡群,東部台地遺跡,Ｊ地区二・ホ,第Ⅳ層下部,35.78083333,139.6555556,0
東京都,130499,,中台三丁目南の丘遺跡,,,35.77388889,139.6783333,0
東京都,130500,四葉地区遺跡群,東部台地遺跡,27BL,第Ⅲ層上部～第Ⅱb層,35.78083333,139.655,0
東京都,130501,,前野田向遺跡,第2地点,第Ⅳ層下部文化層,35.77055556,139.6963889,0
東京都,130502,四葉地区遺跡群,東部台地遺跡,,撹乱等,35.78083333,139.655,4
東京都,130503,,前野田向遺跡,第2地点,遺構覆土等,35.77055556,139.6963889,3
東京都,130504,,志村坂上遺跡,D地点,第1文化層,35.77583333,139.6933333,1
東京都,130505,,志村坂上遺跡,D地点,第2文化層,35.77583333,139.6933333,2
東京都,130506,,志村坂上遺跡,H地点,第Ⅳ層上部文化層,35.77444444,139.6930556,1
東京都,130507,,志村坂上遺跡,H地点,第Ⅳ層下部文化層,35.77444444,139.6930556,1
東京都,130508,,志村坂上遺跡,H地点,第Ⅶ層文化層,35.77444444,139.6930556,1
東京都,130509,,志村坂上遺跡,J地点,第1文化層,35.77416667,139.6938889,1
東京都,130510,,志村坂上遺跡,J地点,第2文化層,35.77416667,139.6938889,1
東京都,130511,,志村城山遺跡,第4地点,第Ⅰ文化層,35.77555556,139.6861111,1
東京都,130512,,志村城山遺跡,第4地点,第Ⅱ文化層,35.77555556,139.6861111,1
東京都,130513,,志村城山遺跡,第4地点,第Ⅲ文化層,35.77555556,139.6861111,1
東京都,130514,,志村城山遺跡,第4地点,第Ⅳ文化層,35.77555556,139.6861111,0
東京都,130515,,志村城山遺跡,第4地点,Ⅸb～Ⅹ,35.77555556,139.6861111,0
東京都,130516,,小豆沢東原遺跡,,Ⅳ層,35.77777778,139.7013889,1
東京都,130517,,小豆沢東原遺跡,,Ⅴ層,35.77777778,139.7013889,0
東京都,130518,,栗原遺跡,,（ローム層中）,35.75361111,139.6716667,0
東京都,130519,,栗原遺跡,,（軟質ローム層中）,35.75361111,139.6716667,0
東京都,130520,,栗原遺跡,P地点,第Ⅳ層文化,35.75361111,139.6716667,0
東京都,130521,,栗原遺跡,P地点,第Ⅸ層文化,35.75361111,139.6716667,0
東京都,130522,,栗原遺跡,P地点,第Ⅹ層文化,35.75361111,139.6716667,1
東京都,130523,,加賀一丁目遺跡,,第Ⅰ文化層,35.75611111,139.7194444,1
東京都,130524,,加賀一丁目遺跡,,第Ⅱ文化層,35.75611111,139.7194444,0
東京都,130525,,根ノ上遺跡,,,35.74555556,139.6808333,3
東京都,130526,,根ノ上遺跡,,第Ⅳ層下部文化層,35.74555556,139.6808333,1
東京都,130527,,根ノ上遺跡,,第Ⅸ層上部文化層,35.74555556,139.6808333,1
東京都,130528,,根ノ上遺跡,,撹乱ほか,35.74555556,139.6808333,1
東京都,130529,,小茂根小山遺跡,第1地点,（Ⅴ層上面）,35.75111111,139.6819444,1
東京都,130530,,小茂根小山遺跡,第2地点,Ⅳ層,35.75083333,139.6827778,0
東京都,130531,,茂呂山東方遺跡,,Ⅸ層,35.75027778,139.6786111,1
東京都,130532,,茂呂山東方遺跡,,Ⅲ層,35.75027778,139.6786111,1
東京都,130533,,茂呂山東方遺跡,,撹乱等,35.75027778,139.6786111,1
東京都,130534,,茂呂山東方遺跡,,ローム層中,35.75027778,139.6786111,1
東京都,130535,,茂呂遺跡,A地点（第一地点）,,35.75416667,139.6755556,1
東京都,130536,,茂呂遺跡,第二地点,,35.75388889,139.6747222,1
東京都,130537,,茂呂遺跡,第三地点,,35.75361111,139.6741667,0
東京都,130538,,茂呂遺跡,第四地点,,35.75333333,139.6744444,0
東京都,130539,,茂呂遺跡,第五地点,,35.75305556,139.6761111,0
東京都,130540,,茂呂遺跡,B地点,Ⅹ層上部,35.75277778,139.6758333,1
東京都,130541,,茂呂遺跡,B地点,Ⅲ層,35.75277778,139.6758333,0
東京都,130542,,茂呂遺跡,C地点,第Ⅳ層下部文化層,35.75361111,139.6763889,1
東京都,130543,,茂呂遺跡,C地点,第Ⅵ層文化層,35.75361111,139.6763889,0
東京都,130544,,茂呂遺跡,C地点,第Ⅸ層文化層,35.75361111,139.6763889,0
東京都,130545,,向原遺跡,,第1文化層,35.74166667,139.6863889,1
東京都,130546,,向原遺跡,,第2文化層,35.74166667,139.6863889,0
東京都,130547,,向原遺跡,,第3文化層,35.74166667,139.6863889,0
東京都,130548,,向原遺跡,,撹乱等,35.74166667,139.6863889,2
東京都,130549,,向原遺跡,,縄文草創期,35.74166667,139.6863889,4
東京都,130550,,西原遺跡,,第Ⅰ文化層,35.75833333,139.6986111,0
東京都,130551,,西原遺跡,,第Ⅱ文化層,35.75833333,139.6986111,1
東京都,130552,,西原遺跡,,,35.75833333,139.6986111,2
東京都,130553,,久保田遺跡,,（ローム盛土）,35.75472222,139.7016667,0
東京都,130554,,久保田遺跡,,（縄文時代）,35.75472222,139.7016667,4
