"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","経度","緯度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明"
13228005900,13228,"59","くさばなこふんぐん","草花古墳群","あきる野市 草花",139.3102547,35.73739035,0,0,0,1,0,0,0,0,0
13228005901,13228,"59-1","","あきる野市<U+FFFD><U+FFFD>59-1古墳","あきる野市 草花",139.3067185,35.74028853,0,0,0,1,0,0,0,0,0
13228005902,13228,"59-2","","あきる野市<U+FFFD><U+FFFD>59-2古墳","あきる野市 草花",139.3087441,35.74000986,0,0,0,0,1,0,0,0,0
13228005903,13228,"59-3","","あきる野市<U+FFFD><U+FFFD>59-3古墳","あきる野市 草花",139.3076733,35.73843016,0,0,0,1,0,0,0,0,0
13228005904,13228,"59-4","","あきる野市<U+FFFD><U+FFFD>59-4古墳","あきる野市 草花",139.3076218,35.73787281,0,0,0,1,0,0,0,0,0
13228005905,13228,"59-5","","あきる野市<U+FFFD><U+FFFD>59-5古墳","あきる野市 草花",139.3104886,35.73790068,0,0,0,1,0,0,0,0,0
13228005906,13228,"59-6","","あきる野市<U+FFFD><U+FFFD>59-6古墳","あきる野市 草花",139.3114499,35.73707859,0,0,0,1,0,0,0,0,0
13228005907,13228,"59-7","","あきる野市<U+FFFD><U+FFFD>59-7古墳","あきる野市 草花",139.3137845,35.7352811,0,0,0,1,0,0,0,0,0
13228005908,13228,"59-8","","あきる野市<U+FFFD><U+FFFD>59-8古墳","あきる野市 草花",139.3142651,35.7348352,0,0,0,1,0,0,0,0,0
13228005909,13228,"59-9","","あきる野市<U+FFFD><U+FFFD>59-9古墳","あきる野市 草花",139.3079137,35.73815149,0,0,0,1,0,0,0,0,0
13228005910,13228,"59-10","","あきる野市<U+FFFD><U+FFFD>59-10古墳","あきる野市 草花",139.3119477,35.73734333,0,0,0,1,0,0,0,0,0
13228005911,13228,"59-11","","あきる野市<U+FFFD><U+FFFD>59-11古墳","あきる野市 草花",139.3112096,35.73771954,0,0,0,1,0,0,0,0,0
13228006000,13228,"60","じしょうじまえこふん","慈勝寺前古墳","あきる野市 草花",139.3126858,35.74155123,0,0,0,0,1,0,0,0,0
13228006100,13228,"61","","あきる野市<U+FFFD><U+FFFD>61遺跡","あきる野市 草花",139.3124283,35.74213641,0,1,0,0,0,0,0,0,0
13228006200,13228,"62","","あきる野市<U+FFFD><U+FFFD>62遺跡","あきる野市 草花",139.3129948,35.73929404,0,1,0,0,0,0,0,0,0
13228006300,13228,"63","くさばないせき","草花遺跡","あきる野市 草花",139.3109349,35.73731546,0,1,0,1,0,0,0,0,0
13228006400,13228,"64","なかたかせいせき","中高瀬遺跡","あきる野市 草花",139.3090809,35.73508602,0,1,0,1,0,1,0,0,0
13228006500,13228,"65","","あきる野市<U+FFFD><U+FFFD>65遺跡","あきる野市 草花",139.3165997,35.73355324,0,1,0,1,0,0,0,0,0
13228006601,13228,"66-1","もりやまこふん3ごうふん","森山古墳3号墳","あきる野市 草花",139.3190373,35.73217372,0,0,0,1,0,0,0,0,0
13228006602,13228,"66-2","もりやまこふん2ごうふん","森山古墳2号墳","あきる野市 草花",139.3184022,35.73220158,0,0,0,1,0,0,0,0,0
13228006603,13228,"66-3","もりやまこふん1ごうふん","森山古墳1号墳","あきる野市 草花",139.3185738,35.73302373,0,0,0,1,0,0,0,0,0
13228006700,13228,"67","せとおかこふんぐん","瀬戸岡古墳群","あきる野市 瀬戸岡",139.2876823,35.73894482,0,0,0,1,0,0,0,0,0
13228006701,13228,"67-1","せとおかこふんぐん1ごうふん","瀬戸岡古墳群1号墳","あきる野市 瀬戸岡",139.2861132,35.73965325,0,0,0,1,0,0,0,0,0
13228006702,13228,"67-2","せとおかこふんぐん2ごうふん","瀬戸岡古墳群2号墳","あきる野市 瀬戸岡",139.2864308,35.73971595,0,0,0,1,0,0,0,0,0
13228006703,13228,"67-3","せとおかこふんぐん3ごうふん","瀬戸岡古墳群3号墳","あきる野市 瀬戸岡",139.2866968,35.73970202,0,0,0,1,0,0,0,0,0
13228006704,13228,"67-4","せとおかこふんぐん4ごうふん","瀬戸岡古墳群4号墳","あきる野市 瀬戸岡",139.2858844,35.73916493,0,0,0,1,0,0,0,0,0
